Komponent;Cel / Przeznaczenie;Poziom;Szacowany Koszt;Przyk∏adowy Link / èród∏o
Raspberry Pi 4 (4GB/8GB);Main controller & WiFi server. More RAM for complex RGB patterns.;High;~$60 - $75;Raspberry Pi 4 Model B (4GB/8GB)
30kpps / 40kpps Galvo Set;High-speed scanners for smooth, complex RGB patterns.;Pro;~$130 - $150;40Kpps High Speed Galvo Scanner Set
RGB Laser Module (Analog Mod.);Full-color laser (Red, Green, Blue) with 0-5V analog modulation inputs.;Pro;~$90 - $110;500mW RGB Full Color Laser Module Analog TTL
3x MCP4922 (DIP-14);Multiple 12-bit DACs to handle 5 analog channels (X, Y, R, G, B).;Custom;~$10.00;MCP4922-E/P (DIP-14) Dual 12-bit DAC
3x TL072 (DIP-8) + 2x CD4050BE;Dedicated Op-Amps for X/Y signal conditioning & Level Shifters for RGB.;Custom;~$5.00;Search: TL072 DIP-8 and CD4050BE
Mean Well LRS-100-12 PSU;High quality, stable industrial power supply (12V or 24V primary).;Safety;~$20.00;Mean Well LRS-100-12 12V 8.5A PSU
2020 Aluminum Frame + 3D Printed Parts;Hybrid chassis: Metal frame for rigidity, custom 3D printed mounts for optics & electronics.;Mech;~$20.00;2020 T-Slot Aluminum Extrusion Profile
Custom 4-Layer PCB Manufacturing;For complex routing, better noise immunity, and integrated design.;Elec;~$20.00;4-Layer PCB Prototype Quote (PCBWay)
Dichroic Safety Glass / IR Filter;Professional optical window for beam shaping and eye protection.;Safety;~$15.00;Laser Safety Window/Dichroic Filter
Passives (Resistors/Caps/Connectors);Essential filtering, pull-ups, and reliable connectivity.;Basic;~$10.00;Resistor Capacitor Connector Kit Search
TOTAL ESTIMATED PROJECT COST:;;;~$390 - $400;
